"Name";"Screen_size";"Video_conf";"Clusters_screen_gpu"
"ASUS VivoBook 15 X512";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS Laptop 15 X509";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS TUF Gaming FX505";"15""";"External GM";"Gamer GPU (15"">)"
"Xiaomi RedmiBook 14""";"14""";"External MS";"Thin (13""-14"")"
"Lenovo IdeaPad S340-15 AMD";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS ZenBook 14 UM431";"14""";"Integrated";"Thin (13""-14"")"
"Apple MacBook Pro 13 with Retina display and Touch Bar Mid 2019";"13""";"Integrated";"Thin (13""-14"")"
"Acer ASPIRE 3 (A315-54K)";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad S340-14 Intel";"14""";"Integrated";"Thin (13""-14"")"
"Lenovo Ideapad L340-15 AMD";"15""";"Integrated";"Integrated GPU (15"">)"
"HP 250 G6";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS M509";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo Ideapad L340-15 Intel";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo Ideapad L340-17 AMD";"16"">";"External GM";"Gamer GPU (15"">)"
"HP 250 G7";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook S15 S531";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS ZenBook 14 UX433";"14""";"External MS";"Thin (13""-14"")"
"Acer TravelMate P2 (TMP259)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS M570";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo Ideapad 330 15 Intel";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS ZenBook UX410UA";"14""";"Integrated";"Thin (13""-14"")"
"Acer SWIFT 3 (SF314-58)";"14""";"Integrated";"Thin (13""-14"")"
"ASUS VivoBook S13 S330";"13""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook X543";"None";"Integrated";"None"
"ASUS VivoBook 14 X403";"14""";"Integrated";"Thin (13""-14"")"
"Lenovo V130 15";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad S145";"None";"External MS";"None"
"ASUS VivoBook A512";"15""";"Integrated";"Integrated GPU (15"">)"
"Xiaomi Mi Notebook Air 13.3"" 2019";"13""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook 17 X712";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer Aspire 5 (A515-54)";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI GF63 Thin 9RCX";"15""";"External GM";"Gamer GPU (15"">)"
"Acer Aspire 3 (A315-42G)";"15""";"External GM";"Gamer GPU (15"">)"
"Acer Aspire 3 (A315-42)";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad S340-15 Intel";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"DELL XPS 15 7590";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo Ideapad L340 (15) Gaming";"None";"External GM";"None"
"Xiaomi Mi Notebook Pro 15.6 GTX";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS VivoBook 15 X540";"15""";"Integrated";"Integrated GPU (15"">)"
"DELL Vostro 5590";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS E203MA";"<12""";"Integrated";"Mini (<12"")"
"ASUS ZenBook 15 UX533";"15""";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE 3 (A315-21)";"15""";"Integrated";"Integrated GPU (15"">)"
"Xiaomi Mi Notebook Pro 15.6 2019";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer Extensa 15 EX215-51";"15""";"Integrated";"Integrated GPU (15"">)"
"Apple MacBook Air 13 дисплей Retina с технологией True Tone Mid 2019";"13""";"Integrated";"Thin (13""-14"")"
"MSI Modern 14 A10M";"14""";"Integrated";"Thin (13""-14"")"
"HP Pavilion Gaming 15-ec0000";"15""";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 17-cd0000";"16"">";"External GM";"Gamer GPU (15"">)"
"DELL Inspiron 5491 2-in-1";"14""";"External MS";"Thin (13""-14"")"
"Xiaomi RedmiBook 14"" Enhanced Edition";"14""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook X420";"14""";"Integrated";"Thin (13""-14"")"
"DELL Inspiron 3582";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS Zenbook 14 UX431";"14""";"Integrated";"Thin (13""-14"")"
"ASUS ZenBook Flip 15 UX563";"15""";"External GM";"Gamer GPU (15"">)"
"HP ProBook 430 G6";"13""";"Integrated";"Thin (13""-14"")"
"Lenovo Ideapad L340-17 Intel";"16"">";"Integrated";"Integrated GPU (15"">)"
"HUAWEI MateBook D 15.6""";"15""";"External None";"None"
"ASUS TUF Gaming FX705";"16"">";"External GM";"Gamer GPU (15"">)"
"ASUS ZenBook 14 UX434";"14""";"External MS";"Thin (13""-14"")"
"ASUS ZenBook 13 UX333FA";"13""";"Integrated";"Thin (13""-14"")"
"Lenovo ThinkBook 15";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Xiaomi Mi Notebook Air 12.5"" 2019";"<12""";"Integrated";"Mini (<12"")"
"ASUS VivoBook X540";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS TUF Gaming FX505DT";"15""";"External GM";"Gamer GPU (15"">)"
"Acer Nitro 5 (AN515-54)";"15""";"External GM";"Gamer GPU (15"">)"
"Apple MacBook Pro 16 with Retina display and Touch Bar Late 2019";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"HUAWEI MateBook 13";"13""";"External MS";"Thin (13""-14"")"
"ASUS X507UA";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo Legion Y540-15";"15""";"External GM";"Gamer GPU (15"">)"
"HP ProBook 440 G6";"14""";"External MS";"Thin (13""-14"")"
"HP Stream 11-aj0000";"<12""";"Integrated";"Mini (<12"")"
"ASUS ZenBook 15 UX534";"15""";"None";"None"
"Lenovo V145";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo V130 14";"14""";"Integrated";"Thin (13""-14"")"
"ASUS VivoBook 14 F412";"14""";"Integrated";"Thin (13""-14"")"
"MSI GL65 9SCK";"15""";"External GM";"Gamer GPU (15"">)"
"Xiaomi Mi Gaming Laptop 2019";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS VivoBook Flip 14 TP412";"14""";"Integrated";"Thin (13""-14"")"
"Lenovo Yoga S740";"None";"External MS";"None"
"HP 14-dk0000";"14""";"Integrated";"Thin (13""-14"")"
"ASUS PRO P1440";"14""";"External MS";"Thin (13""-14"")"
"HP 15-db1000";"15""";"Integrated";"Integrated GPU (15"">)"
"HP PAVILION 15-cw1000";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad S340-14 AMD";"14""";"Integrated";"Thin (13""-14"")"
"ASUS X540MA";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI GL65 9SDK";"15""";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 14-dh0000 x360";"14""";"Integrated";"Thin (13""-14"")"
"Microsoft Surface Laptop";"13""";"Integrated";"Thin (13""-14"")"
"Acer Extensa 15 EX215-51KG";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS VivoBook 14 X412";"14""";"Integrated";"Thin (13""-14"")"
"Acer Extensa 15 EX215-51G";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP ProBook 455 G6";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo Ideapad 530s 14 Intel";"None";"External MS";"None"
"DELL G3 15 3590";"15""";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE 5 (A517-51G)";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"HUAWEI MateBook X Pro";"13""";"External MS";"Thin (13""-14"")"
"DELL Vostro 3584";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo Yoga 530-14 Intel";"14""";"Integrated";"Thin (13""-14"")"
"DELL G5 15 5590";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS ROG GL731";"16"">";"External GM";"Gamer GPU (15"">)"
"HP 15-db0000";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer SWIFT 3 (SF314-57)";"14""";"Integrated";"Thin (13""-14"")"
"HP ProBook 450 G6";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"DELL Inspiron 3593";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Google Pixelbook";"<12""";"Integrated";"Mini (<12"")"
"Lenovo Ideapad 330 15 AMD";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS Vivobook 17 X705MA";"16"">";"Integrated";"Integrated GPU (15"">)"
"DELL G7 17 7790";"16"">";"External GM";"Gamer GPU (15"">)"
"DELL INSPIRON 5570";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS ZenBook Flip 14 UX463";"14""";"External MS";"Thin (13""-14"")"
"MSI GL75 9SCK";"16"">";"External GM";"Gamer GPU (15"">)"
"Lenovo V340-17";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo ThinkPad E14";"14""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook 15 X505";"15""";"Integrated";"Integrated GPU (15"">)"
"HP 255 G7";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI PS42 Modern 8RA";"14""";"External MS";"Thin (13""-14"")"
"Apple MacBook Air 13 Mid 2017";"13""";"Integrated";"Thin (13""-14"")"
"HP 15-rb000";"15""";"Integrated";"Integrated GPU (15"">)"
"HP 15-da0000";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS ROG Strix G GL531";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS X571";"None";"None";"None"
"DELL INSPIRON 3573";"None";"None";"None"
"DELL Vostro 5490";"14""";"External MS";"Thin (13""-14"")"
"Acer SWIFT 3 (SF314-58G)";"14""";"External MS";"Thin (13""-14"")"
"HP 14-cm0000";"14""";"Integrated";"Thin (13""-14"")"
"Haier U156";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo THINKPAD X1 Carbon Ultrabook (7th Gen)";"14""";"Integrated";"Thin (13""-14"")"
"ASUS ZenBook 14 UX433FA";"14""";"Integrated";"Thin (13""-14"")"
"Acer Extensa 15 EX215-21";"15""";"Integrated";"Integrated GPU (15"">)"
"Honor MagicBook AMD";"14""";"Integrated";"Thin (13""-14"")"
"Acer Nitro 5 (AN517-51)";"16"">";"External GM";"Gamer GPU (15"">)"
"Xiaomi Mi Notebook 15.6 Lite";"15""";"Integrated";"Integrated GPU (15"">)"
"Xiaomi Mi Notebook Air 12.5""";"<12""";"Integrated";"Mini (<12"")"
"Lenovo ThinkPad Edge E495";"14""";"Integrated";"Thin (13""-14"")"
"HP 17-ca0000";"16"">";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad S540 15 Intel";"15""";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 14-ce3000";"14""";"Integrated";"Thin (13""-14"")"
"Acer ASPIRE 3 (A317-51)";"16"">";"Integrated";"Integrated GPU (15"">)"
"Acer Extensa 15 EX215-51K";"15""";"Integrated";"Integrated GPU (15"">)"
"Apple MacBook Pro 15 with Retina display Mid 2019";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS ZenBook 13 UX331UA";"13""";"Integrated";"Thin (13""-14"")"
"HP Envy 13-ad000";"13""";"External MS";"Thin (13""-14"")"
"Lenovo Ideapad L340 (17) Gaming";"16"">";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE E 15 (E5-576G)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP 14s-dq1000";"14""";"Integrated";"Thin (13""-14"")"
"Lenovo ThinkPad Edge E490";"14""";"Integrated";"Thin (13""-14"")"
"HP 15-da1000";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook Flip 14 TP412UA";"14""";"Integrated";"Thin (13""-14"")"
"Xiaomi Mi Gaming Laptop";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS VivoBook F512DA";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook R540BA";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS X507UF";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS VivoBook S15 S532";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo ThinkPad X280";"<12""";"Integrated";"Mini (<12"")"
"ASUS TUF Gaming FX505DD";"15""";"External GM";"Gamer GPU (15"">)"
"Honor MAGICBOOK PRO";"16"">";"Integrated";"Integrated GPU (15"">)"
"HP 15s-fq0000";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook 17 M705";"16"">";"None";"None"
"Irbis NB211";"<12""";"Integrated";"Mini (<12"")"
"Alienware Area-51m";"16"">";"External GM";"Gamer GPU (15"">)"
"MSI GL75 9SDK";"16"">";"External GM";"Gamer GPU (15"">)"
"Acer Nitro 5 (AN515-52)";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo ThinkPad L13";"13""";"Integrated";"Thin (13""-14"")"
"Irbis NB241";"14""";"Integrated";"Thin (13""-14"")"
"HP Envy 13-ar0000 x360";"13""";"Integrated";"Thin (13""-14"")"
"Xiaomi Mi Notebook Air 13.3"" 2018";"13""";"External MS";"Thin (13""-14"")"
"Apple MacBook Mid 2017";"<12""";"Integrated";"Mini (<12"")"
"Apple MacBook Late 2018";"<12""";"Integrated";"Mini (<12"")"
"ASUS X545";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP 17-by0000";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"DELL XPS 13 7390";"13""";"Integrated";"Thin (13""-14"")"
"Xiaomi Mi Notebook Pro 15.6";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS Zenbook Flip UX562";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo Ideapad 330s 15";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP PAVILION 15-dq0000 x360";"15""";"None";"None"
"HP 15-dw0000";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS VivoBook A540";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP PAVILION 13-an1000";"13""";"Integrated";"Thin (13""-14"")"
"DELL G5 15 5587";"15""";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE ES1-732";"16"">";"Integrated";"Integrated GPU (15"">)"
"ASUS ZenBook Duo UX481";"14""";"External MS";"Thin (13""-14"")"
"DELL Inspiron 3584";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP 15-bs100";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer SWIFT 3 (SF314-54)";"14""";"Integrated";"Thin (13""-14"")"
"ASUS X751NA";"16"">";"Integrated";"Integrated GPU (15"">)"
"Acer ASPIRE 3 (A315-34)";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI GL65 9SEK";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS TUF Gaming FX505DY";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS TUF Gaming FX705DU";"16"">";"External GM";"Gamer GPU (15"">)"
"ASUS ROG G703";"16"">";"External GM";"Gamer GPU (15"">)"
"ASUS X541UV";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP 15-ra000";"15""";"Integrated";"Integrated GPU (15"">)"
"HP 14-cm1000";"14""";"Integrated";"Thin (13""-14"")"
"HP 15-bs000";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"DELL INSPIRON 3793";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"HP OMEN 15-dc1000";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS VivoBook S15 S530";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo Ideapad S540 14 AMD";"14""";"External GM";"Thin (13""-14"")"
"Razer Blade Stealth 13.3";"13""";"External MS";"Thin (13""-14"")"
"HP EliteBook 850 G6";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer ASPIRE 3 (A315-22)";"15""";"Integrated";"Integrated GPU (15"">)"
"HP ProBook x360 440 G1";"14""";"Integrated";"Thin (13""-14"")"
"HP 240 G7";"14""";"Integrated";"Thin (13""-14"")"
"Acer Swift 3 (SF314-41)";"14""";"Integrated";"Thin (13""-14"")"
"Prestigio SmartBook 133S";"13""";"Integrated";"Thin (13""-14"")"
"DELL Vostro 3590";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP 15s-fq1000";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI MSI Modern 15 A10RB";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS VivoBook 17 X705UA";"16"">";"Integrated";"Integrated GPU (15"">)"
"HP OMEN 15-dh0000";"15""";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE 3 (A315-51)";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer Predator Helios 500 (PH517-61)";"16"">";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE 3 (A315-53)";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer Extensa EX2540";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS ZenBook Pro 15 UX550GD";"15""";"External GM";"Gamer GPU (15"">)"
"HP 14s-dq0000";"14""";"Integrated";"Thin (13""-14"")"
"MSI Prestige 14 A10SC";"14""";"External GM";"Thin (13""-14"")"
"Lenovo Ideapad S540 14 intel";"14""";"Integrated";"Thin (13""-14"")"
"ASUS ZenBook 13 UX334";"13""";"External MS";"Thin (13""-14"")"
"HP 17-ca1000";"16"">";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook S14 S430";"14""";"None";"Thin (13""-14"")"
"HP PAVILION 14-ce0000";"14""";"External MS";"Thin (13""-14"")"
"HP 15s-eq0000";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer Aspire 3 (A315-54)";"15""";"Integrated";"Integrated GPU (15"">)"
"HP PAVILION 14-ce2000";"14""";"Integrated";"Thin (13""-14"")"
"ASUS X540LA";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer Predator Helios 300 (PH315-51)";"15""";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 15-cs3000";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI P75 Creator 9SE";"16"">";"External GM";"Gamer GPU (15"">)"
"Acer SPIN 1 (SP111-32N)";"<12""";"Integrated";"Mini (<12"")"
"ASUS PRO P3540";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP PAVILION 15-cs0000";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer Aspire 3 (A315-55KG)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Xiaomi Mi Notebook 15.6 2019";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP PAVILION 15-cs2000";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo V330 14";"14""";"Integrated";"Thin (13""-14"")"
"HP EliteBook 840 G4";"14""";"Integrated";"Thin (13""-14"")"
"HP 15-bw000";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo ThinkBook 13s";"13""";"Integrated";"Thin (13""-14"")"
"HP PAVILION 13-an0000";"13""";"Integrated";"Thin (13""-14"")"
"Lenovo IdeaPad S540-13";"13""";"Integrated";"Thin (13""-14"")"
"ASUS K543";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook Pro 17 N705";"16"">";"External GM";"Gamer GPU (15"">)"
"ASUS F509";"15""";"External None";"None"
"ASUS X507MA";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer ASPIRE ES1-572";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo Ideapad 530s 15";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"MSI Prestige 15 A10SC";"15""";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE 3 (A315-53G)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Xiaomi Mi Gaming Laptop Enhanced Edition";"15""";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 15-ck000";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer Aspire 3 (A315-55G)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo Ideapad 330s 14 AMD";"14""";"Integrated";"Thin (13""-14"")"
"Xiaomi RedmiBook 14"" Ryzen Edition";"14""";"Integrated";"Thin (13""-14"")"
"Acer Nitro 5 (AN515-42)";"15""";"External GM";"Gamer GPU (15"">)"
"HP 14-ck0000";"14""";"Integrated";"Thin (13""-14"")"
"Razer Blade 15 Advanced (2019)";"15""";"External GM";"Gamer GPU (15"">)"
"Microsoft Surface Laptop 3 15";"15""";"Integrated";"Integrated GPU (15"">)"
"Panasonic TOUGHBOOK CF-53";"14""";"Integrated";"Thin (13""-14"")"
"ASUS ROG Zephyrus S GX531";"None";"External GM";"None"
"Lenovo THINKPAD T61";"None";"None";"None"
"DELL Latitude 3400";"14""";"External MS";"Thin (13""-14"")"
"ASUS ZenBook Pro 15 UX550GE";"15""";"External GM";"Gamer GPU (15"">)"
"DIGMA CITI E602";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook 15 A505";"15""";"Integrated";"Integrated GPU (15"">)"
"DELL LATITUDE 5490";"14""";"Integrated";"Thin (13""-14"")"
"Acer SWIFT 3 (SF314-56)";"14""";"Integrated";"Thin (13""-14"")"
"ASUS VivoBook 15 D540";"15""";"None";"None"
"ASUS FX753VD";"16"">";"External GM";"Gamer GPU (15"">)"
"Microsoft Surface Laptop 2";"13""";"Integrated";"Thin (13""-14"")"
"ASUS ZenBook Flip UX561UN";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo ThinkPad L13 Yoga";"13""";"Integrated";"Thin (13""-14"")"
"Acer Aspire 5 (A515-52G)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer Aspire 3 (A317-51G)";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS Vivobook 17 X705MB";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer Swift 5 (SF514-54T)";"14""";"Integrated";"Thin (13""-14"")"
"DELL Inspiron 5584";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Alienware M17";"16"">";"External GM";"Gamer GPU (15"">)"
"HP ProBook 430 G5";"13""";"Integrated";"Thin (13""-14"")"
"Acer TravelMate P2 (TMP2510-G2-MG)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer ASPIRE 5 (A515-51G)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP ProBook 450 G5";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer ASPIRE 3 (A315-41G)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS VivoBook Flip 14 TP401";"14""";"Integrated";"Thin (13""-14"")"
"ASUS X555QA";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS ROG Zephyrus M GU502";"15""";"External GM";"Gamer GPU (15"">)"
"HP 17-by1000";"16"">";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook S14 S432";"14""";"External MS";"Thin (13""-14"")"
"HP ProBook 445 G6";"14""";"Integrated";"Thin (13""-14"")"
"HP PAVILION 15-dk0000";"15""";"Integrated";"Integrated GPU (15"">)"
"HP EliteBook 8560p";"15""";"None";"None"
"Lenovo ThinkPad Edge E580";"15""";"None";"None"
"ASUS X540MB";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS Zenbook UX310UA";"13""";"Integrated";"Thin (13""-14"")"
"MSI PS42 Modern 8MO";"14""";"Integrated";"Thin (13""-14"")"
"ASUS X540UB";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo Ideapad 330-14 AMD";"14""";"Integrated";"Thin (13""-14"")"
"ASUS VivoBook 15 X540UA";"15""";"Integrated";"Integrated GPU (15"">)"
"HP EliteBook 8570p";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo Ideapad 330s 14 Intel";"14""";"External MS";"Thin (13""-14"")"
